cand,date,rcp
Kasich,2015-12-31 00:00:00,1.5
Fiorina,2015-12-31 00:00:00,2.3
Christie,2015-12-31 00:00:00,2.3
Santorum,2015-12-31 00:00:00,0.5
Walker,2015-12-31 00:00:00,
Jindal,2015-12-31 00:00:00,
Perry,2015-12-31 00:00:00,
Graham,2015-12-31 00:00:00,0.3
Pataki,2015-12-31 00:00:00,0.3
Trump,2015-12-30 00:00:00,27.5
Cruz,2015-12-30 00:00:00,30.3
Rubio,2015-12-30 00:00:00,12.0
Carson,2015-12-30 00:00:00,9.3
Paul,2015-12-30 00:00:00,2.8
Bush,2015-12-30 00:00:00,4.8
Huckabee,2015-12-30 00:00:00,2.3
Kasich,2015-12-30 00:00:00,1.5
Fiorina,2015-12-30 00:00:00,2.3
Christie,2015-12-30 00:00:00,2.3
Santorum,2015-12-30 00:00:00,0.5
Walker,2015-12-30 00:00:00,
Jindal,2015-12-30 00:00:00,
Perry,2015-12-30 00:00:00,
Graham,2015-12-30 00:00:00,0.3
Pataki,2015-12-30 00:00:00,0.3
Trump,2015-12-29 00:00:00,27.5
Cruz,2015-12-29 00:00:00,30.3
Rubio,2015-12-29 00:00:00,12.0
Carson,2015-12-29 00:00:00,9.3
Paul,2015-12-29 00:00:00,2.8
Bush,2015-12-29 00:00:00,4.8
Huckabee,2015-12-29 00:00:00,2.3
Kasich,2015-12-29 00:00:00,1.5
Fiorina,2015-12-29 00:00:00,2.3
Christie,2015-12-29 00:00:00,2.3
Santorum,2015-12-29 00:00:00,0.5
Walker,2015-12-29 00:00:00,
Jindal,2015-12-29 00:00:00,
Perry,2015-12-29 00:00:00,
Graham,2015-12-29 00:00:00,0.3
Pataki,2015-12-29 00:00:00,0.3
Trump,2015-12-28 00:00:00,27.5
Cruz,2015-12-28 00:00:00,30.3
Rubio,2015-12-28 00:00:00,12.0
Carson,2015-12-28 00:00:00,9.3
Paul,2015-12-28 00:00:00,2.8
Bush,2015-12-28 00:00:00,4.8
Huckabee,2015-12-28 00:00:00,2.3
Kasich,2015-12-28 00:00:00,1.5
Fiorina,2015-12-28 00:00:00,2.3
Christie,2015-12-28 00:00:00,2.3
Santorum,2015-12-28 00:00:00,0.5
Walker,2015-12-28 00:00:00,
Jindal,2015-12-28 00:00:00,
Perry,2015-12-28 00:00:00,
Graham,2015-12-28 00:00:00,0.3
Pataki,2015-12-28 00:00:00,0.3
Trump,2015-12-27 00:00:00,26.9
Cruz,2015-12-27 00:00:00,30.3
Rubio,2015-12-27 00:00:00,11.9
Carson,2015-12-27 00:00:00,9.6
Paul,2015-12-27 00:00:00,2.7
Bush,2015-12-27 00:00:00,5.0
Huckabee,2015-12-27 00:00:00,2.3
Kasich,2015-12-27 00:00:00,1.4
Fiorina,2015-12-27 00:00:00,2.4
Christie,2015-12-27 00:00:00,2.0
Santorum,2015-12-27 00:00:00,0.6
Walker,2015-12-27 00:00:00,
Jindal,2015-12-27 00:00:00,
Perry,2015-12-27 00:00:00,
Graham,2015-12-27 00:00:00,0.3
Pataki,2015-12-27 00:00:00,0.3
Trump,2015-12-26 00:00:00,26.9
Cruz,2015-12-26 00:00:00,30.3
Rubio,2015-12-26 00:00:00,11.9
Carson,2015-12-26 00:00:00,9.6
Paul,2015-12-26 00:00:00,2.7
Bush,2015-12-26 00:00:00,5.0
Huckabee,2015-12-26 00:00:00,2.3
Kasich,2015-12-26 00:00:00,1.4
Fiorina,2015-12-26 00:00:00,2.4
Christie,2015-12-26 00:00:00,2.0
Santorum,2015-12-26 00:00:00,0.6
Walker,2015-12-26 00:00:00,
Jindal,2015-12-26 00:00:00,
Perry,2015-12-26 00:00:00,
Graham,2015-12-26 00:00:00,0.3
Pataki,2015-12-26 00:00:00,0.3
Trump,2015-12-25 00:00:00,26.9
Cruz,2015-12-25 00:00:00,30.3
Rubio,2015-12-25 00:00:00,11.9
Carson,2015-12-25 00:00:00,9.6
Paul,2015-12-25 00:00:00,2.7
Bush,2015-12-25 00:00:00,5.0
Huckabee,2015-12-25 00:00:00,2.3
Kasich,2015-12-25 00:00:00,1.4
Fiorina,2015-12-25 00:00:00,2.4
Christie,2015-12-25 00:00:00,2.0
Santorum,2015-12-25 00:00:00,0.6
Walker,2015-12-25 00:00:00,
Jindal,2015-12-25 00:00:00,
Perry,2015-12-25 00:00:00,
Graham,2015-12-25 00:00:00,0.3
Pataki,2015-12-25 00:00:00,0.3
Trump,2015-12-24 00:00:00,26.9
Cruz,2015-12-24 00:00:00,30.3
Rubio,2015-12-24 00:00:00,11.9
Carson,2015-12-24 00:00:00,9.6
Paul,2015-12-24 00:00:00,2.7
Bush,2015-12-24 00:00:00,5.0
Huckabee,2015-12-24 00:00:00,2.3
Kasich,2015-12-24 00:00:00,1.4
Fiorina,2015-12-24 00:00:00,2.4
Christie,2015-12-24 00:00:00,2.0
Santorum,2015-12-24 00:00:00,0.6
Walker,2015-12-24 00:00:00,
Jindal,2015-12-24 00:00:00,
Perry,2015-12-24 00:00:00,
Graham,2015-12-24 00:00:00,0.3
Pataki,2015-12-24 00:00:00,0.3
Trump,2015-12-23 00:00:00,26.2
Cruz,2015-12-23 00:00:00,30.2
Rubio,2015-12-23 00:00:00,12.3
Carson,2015-12-23 00:00:00,10.0
Paul,2015-12-23 00:00:00,3.0
Bush,2015-12-23 00:00:00,5.2
Huckabee,2015-12-23 00:00:00,2.0
Kasich,2015-12-23 00:00:00,1.3
Fiorina,2015-12-23 00:00:00,2.3
Christie,2015-12-23 00:00:00,2.0
Santorum,2015-12-23 00:00:00,0.7
Walker,2015-12-23 00:00:00,
Jindal,2015-12-23 00:00:00,
Perry,2015-12-23 00:00:00,
Graham,2015-12-23 00:00:00,0.2
Pataki,2015-12-23 00:00:00,0.2
Trump,2015-12-22 00:00:00,26.2
Cruz,2015-12-22 00:00:00,30.2
Rubio,2015-12-22 00:00:00,12.3
Carson,2015-12-22 00:00:00,10.0
Paul,2015-12-22 00:00:00,3.0
Bush,2015-12-22 00:00:00,5.2
Huckabee,2015-12-22 00:00:00,2.0
Kasich,2015-12-22 00:00:00,1.3
Fiorina,2015-12-22 00:00:00,2.3
Christie,2015-12-22 00:00:00,2.0
Santorum,2015-12-22 00:00:00,0.7
Walker,2015-12-22 00:00:00,
